kinematic_control
dt,head_des_x,head_des_y,head_des_z,reye_des_x,reye_des_y,reye_des_z,leye_des_x,leye_des_y,leye_des_z,head_cur_x,head_cur_y,head_cur_z,reye_cur_x,reye_cur_y,reye_cur_z,leye_cur_x,leye_cur_y,leye_cur_z,head_ori_error,reye_orientation_error,leye_orientation_error,h1,h2,h3,q0,q1,q2,q3,q4,q5,q6,dq0,dq1,dq2,dq3,dq4,dq5,dq6,rank_t1,rank_t2
0.05,0.7,0.0,0.1385,0.7,0.0,0.1385,0.7,0.0,0.1385,0.7,0.0,0.1385,0.7001,-0.0009,0.1385,0.7001,0.0009,0.1385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0903,-0.0903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
0.05,0.7,0.0,0.1385,0.7001,0.0,0.1385,0.7001,0.0,0.1385,0.7,0.0,0.1385,0.7001,-0.0009,0.1385,0.7001,0.0009,0.1385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0903,-0.0903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
0.05,0.7,0.0001,0.1386,0.7004,0.0,0.1385,0.7004,0.0,0.1385,0.7,0.0,0.1385,0.7002,-0.0009,0.1385,0.7002,0.0009,0.1385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0903,-0.0903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
0.05,0.7,0.0003,0.1388,0.7009,0.0,0.1385,0.7009,0.0,0.1385,0.7,0.0,0.1385,0.7005,-0.0009,0.1385,0.7005,0.0009,0.1385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0903,-0.0903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
0.05,0.7,0.0006,0.1391,0.7018,0.0,0.1385,0.7018,0.0,0.1385,0.7,0.0,0.1385,0.701,-0.0008,0.1385,0.701,0.0008,0.1385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0903,-0.0903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
0.05,0.7,0.001,0.1395,0.703,0.0,0.1385,0.703,0.0,0.1385,0.7,0.0,0.1385,0.7018,-0.0008,0.1385,0.7018,0.0008,0.1385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0903,-0.0903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
0.05,0.7,0.0015,0.14,0.7046,0.0,0.1385,0.7046,0.0,0.1385,0.7,0.0,0.1385,0.7031,-0.0006,0.1385,0.7031,0.0006,0.1385,0.0031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0903,-0.0903,0.0011,0.0022,-0.0,0.0011,-0.0022,-0.0022,-0.0022,3.0,3.0
0.05,0.7,0.0023,0.1408,0.7067,0.0,0.1385,0.7067,0.0,0.1385,0.6998,0.0015,0.14,0.7046,-0.0002,0.1388,0.7044,0.0008,0.1388,0.0,0.0,0.0,0.0,0.0,0.0,0.0011,0.0022,-0.0,0.0011,-0.0022,0.0881,-0.0925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
0.05,0.7,0.0032,0.1417,0.7093,0.0,0.1385,0.7093,0.0,0.1385,0.7,0.0015,0.14,0.7067,-0.0,0.1388,0.7068,0.0006,0.1388,0.0033,0.0,0.0,0.0,0.0,0.0,0.0011,0.0022,-0.0,0.0011,-0.0022,0.0881,-0.0925,0.0012,0.0023,-0.0,0.0012,-0.0023,-0.0023,-0.0023,3.0,3.0
0.05,0.7,0.0043,0.1428,0.7124,0.0,0.1385,0.7124,0.0,0.1385,0.6998,0.0032,0.1417,0.7093,0.0005,0.1391,0.7091,0.0006,0.1391,0.0,0.0,0.0,0.0,0.0,0.0,0.0023,0.0045,-0.0,0.0023,-0.0045,0.0858,-0.0949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
