kinematic_control
dt,head_des_x,head_des_y,head_des_z,reye_des_x,reye_des_y,reye_des_z,leye_des_x,leye_des_y,leye_des_z,head_cur_x,head_cur_y,head_cur_z,reye_cur_x,reye_cur_y,reye_cur_z,leye_cur_x,leye_cur_y,leye_cur_z,head_ori_error,reye_orientation_error,leye_orientation_error,h1,h2,h3,q0,q1,q2,q3,q4,q5,q6,dq0,dq1,dq2,dq3,dq4,dq5,dq6,rank_t1,rank_t2
0.05,0.7,0.0,0.1385,0.7,0.0,0.1385,0.7,0.0,0.1385,0.7,0.0,0.1385,0.7,-0.0001,0.1385,0.7,0.0001,0.1385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0918,-0.0918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
0.05,0.7,0.0,0.1385,0.7,0.0,0.1385,0.7,0.0,0.1385,0.7,0.0,0.1385,0.7,-0.0001,0.1385,0.7,0.0001,0.1385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0918,-0.0918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
0.05,0.7,0.0001,0.1386,0.7,0.0,0.1385,0.7,0.0,0.1385,0.7,0.0,0.1385,0.7,-0.0001,0.1385,0.7,0.0001,0.1385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0918,-0.0918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
0.05,0.7,0.0002,0.1387,0.7,0.0,0.1385,0.7,0.0,0.1385,0.7,0.0,0.1385,0.7,-0.0001,0.1385,0.7,0.0001,0.1385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0918,-0.0918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
0.05,0.7,0.0005,0.139,0.7,0.0001,0.1385,0.7,0.0001,0.1385,0.7,0.0,0.1385,0.7,-0.0001,0.1385,0.7,0.0001,0.1385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0918,-0.0918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
0.05,0.7,0.0008,0.1393,0.7,0.0001,0.1386,0.7,0.0001,0.1386,0.7,0.0,0.1385,0.7,-0.0001,0.1385,0.7,0.0001,0.1385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0918,-0.0918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
0.05,0.7,0.0012,0.1397,0.7,0.0002,0.1386,0.7,0.0002,0.1386,0.7,0.0,0.1385,0.7,-0.0001,0.1385,0.7,0.0001,0.1385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0918,-0.0918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
0.05,0.7,0.0018,0.1403,0.7,0.0002,0.1387,0.7,0.0002,0.1387,0.7,0.0,0.1385,0.7,-0.0001,0.1385,0.7,0.0001,0.1385,0.0037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0918,-0.0918,0.0013,0.0026,-0.0,0.0013,-0.0026,-0.0026,-0.0026,3.0,3.0
0.05,0.7,0.0025,0.141,0.7,0.0003,0.1388,0.7,0.0003,0.1388,0.6998,0.0018,0.1403,0.7,0.0002,0.1388,0.6997,0.0004,0.1388,0.0,0.0,0.0,0.0,0.0,0.0,0.0013,0.0026,-0.0,0.0013,-0.0026,0.0892,-0.0944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
0.05,0.7,0.0034,0.1419,0.7,0.0004,0.1389,0.7,0.0004,0.1389,0.7,0.0018,0.1403,0.7,0.0002,0.1388,0.7,0.0004,0.1388,0.0033,0.0,0.0,0.0,0.0,0.0,0.0013,0.0026,-0.0,0.0013,-0.0026,0.0892,-0.0944,0.0012,0.0023,-0.0,0.0012,-0.0023,-0.0023,-0.0023,3.0,3.0
